class,animal,Selected,aéreo,aquático,pelo,ovíparo,leite,predador,dentado,espinha,respira,venenoso,barbatanas,cauda,doméstico,pernas
Mamífero Marinhos Anfíbios,string,No Yes,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,continuous
class,meta,meta,,,,,,,,,,,,,,
Mamífero,porco-da-terra,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,não,não,4.0
Mamífero,antílope,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,urso,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,não,não,4.0
Mamífero,javali,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,bufalo,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,preá,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,não,sim,4.0
Mamífero,guepardo,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,corça,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,elefante,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,girafa,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,bode,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,sim,4.0
Mamífero,gorila,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,não,não,2.0
Mamífero,hamster,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,sim,4.0
Mamífero,lebre,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,leopardo,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,leão,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,lince,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,toupeira,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,mangusto,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,ornitorrinco,No,não,sim,sim,sim,sim,sim,não,sim,sim,não,não,sim,não,4.0
Mamífero,doninha,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,puma,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,gato,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,sim,4.0
Mamífero,guaxinim,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,rena,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,sim,4.0
Mamífero,esquilo,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,2.0
Mamífero,morcego,No,sim,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,2.0
Mamífero,ratazana,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,canguru,No,não,não,sim,não,sim,não,sim,sim,sim,não,não,sim,não,2.0
Mamífero,lobo,No,não,não,sim,não,sim,sim,sim,sim,sim,não,não,sim,não,4.0
Marinhos,carpa,No,não,sim,não,sim,não,não,sim,sim,não,não,sim,sim,sim,0.0
Marinhos,peixe-gato,No,não,sim,não,sim,não,sim,sim,sim,não,não,sim,sim,não,0.0
Marinhos,peixe-cachorro,No,não,sim,não,sim,não,sim,sim,sim,não,não,sim,sim,não,0.0
Marinhos,golfinho,No,não,sim,não,não,sim,sim,sim,sim,sim,não,sim,sim,não,0.0
Marinhos,piranha,No,não,sim,não,sim,não,sim,sim,sim,não,não,sim,sim,não,0.0
Marinhos,jararaca,No,não,não,não,sim,não,sim,sim,sim,sim,sim,não,sim,não,0.0
Marinhos,cavalo-marinho,No,não,sim,não,sim,não,não,sim,sim,não,não,sim,sim,não,0.0
Marinhos,focas,No,não,sim,sim,não,sim,sim,sim,sim,sim,não,sim,não,não,0.0
Marinhos,leão-marinho,No,não,sim,sim,não,sim,sim,sim,sim,sim,não,sim,sim,não,2.0
Marinhos,cobra-d'água,No,não,sim,não,não,não,sim,sim,sim,não,sim,não,sim,não,0.0
Marinhos,verme,No,não,não,não,sim,não,sim,sim,sim,sim,não,não,sim,não,0.0
Marinhos,arraia,No,não,sim,não,sim,não,sim,sim,sim,não,sim,sim,sim,não,0.0
Marinhos,atum,No,não,sim,não,sim,não,sim,sim,sim,não,não,sim,sim,não,0.0
Anfíbios,perereca,No,não,sim,não,sim,não,sim,sim,sim,sim,não,não,não,não,4.0
Anfíbios,rã,No,não,sim,não,sim,não,sim,sim,sim,sim,sim,não,não,não,4.0
Anfíbios,salamandra,No,não,sim,não,sim,não,sim,sim,sim,sim,não,não,sim,não,4.0
Anfíbios,sapo,No,não,sim,não,sim,não,não,sim,sim,sim,não,não,não,não,4.0
Anfíbios,jaboti,No,não,não,não,sim,não,sim,sim,sim,sim,não,não,sim,não,4.0
