class,animal,Cluster,Selected,pelo,ovíparo,leite,aéreo,aquático,predador,dentado,espinha,respira,venenoso,barbatanas,cauda,doméstico,pernas
discrete,string,discrete,No Yes,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,não sim,continuous
class,meta,meta,meta,,,,,,,,,,,,,,
Mamífero,porco-da-terra,C1,Yes,sim,não,sim,não,não,sim,sim,sim,sim,não,não,não,não,4.0
Mamífero,antílope,C1,Yes,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,urso,C1,Yes,sim,não,sim,não,não,sim,sim,sim,sim,não,não,não,não,4.0
Mamífero,javali,C1,Yes,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,bufalo,C1,Yes,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,preá,C1,Yes,sim,não,sim,não,não,não,sim,sim,sim,não,não,não,sim,4.0
Mamífero,guepardo,C1,Yes,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,corça,C1,Yes,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,elefante,C1,Yes,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,girafa,C1,No,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,bode,C1,No,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,sim,4.0
Mamífero,gorila,C1,No,sim,não,sim,não,não,não,sim,sim,sim,não,não,não,não,2.0
Mamífero,hamster,C1,No,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,sim,4.0
Mamífero,lebre,C1,No,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,leopardo,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,leão,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,lince,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,toupeira,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,mangusto,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,ornitorrinco,C1,No,sim,sim,sim,não,sim,sim,não,sim,sim,não,não,sim,não,4.0
Mamífero,doninha,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,puma,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,gato,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,sim,4.0
Mamífero,guaxinim,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
Mamífero,rena,C1,No,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,sim,4.0
Mamífero,esquilo,C1,No,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,não,2.0
Mamífero,morcego,C1,No,sim,não,sim,sim,não,não,sim,sim,sim,não,não,sim,não,2.0
Mamífero,ratazana,C1,No,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,não,4.0
Mamífero,canguru,C1,No,sim,não,sim,não,não,não,sim,sim,sim,não,não,sim,não,2.0
Mamífero,lobo,C1,No,sim,não,sim,não,não,sim,sim,sim,sim,não,não,sim,não,4.0
